tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_ht,winner_age,loser_id,loser_name,loser_ht,loser_age,score,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2010-580,Australian Open,Hard,G,20100118,46,104252,Florian Mayer,190.0,26.288843258,104332,Philipp Petzschner,185.0,25.8206707734,0-6 2-6 6-4 6-2 6-2,4.0,2.0,121.0,84.0,54.0,18.0,20.0,3.0,9.0,7.0,6.0,125.0,73.0,51.0,23.0,20.0,3.0,9.0,60.0,746.0,81.0,582.0
2010-580,Australian Open,Hard,G,20100118,47,103484,James Blake,185.0,30.0588637919,103096,Arnaud Clement,173.0,32.0876112252,7-5 7-5 6-2,9.0,0.0,94.0,60.0,49.0,20.0,16.0,1.0,2.0,2.0,1.0,103.0,65.0,41.0,20.0,16.0,9.0,14.0,45.0,935.0,55.0,797.0
2010-580,Australian Open,Hard,G,20100118,48,105223,Juan Martin del Potro,198.0,21.3196440794,103188,Michael Russell,173.0,31.7180013689,6-4 6-4 3-6 6-2,21.0,6.0,109.0,66.0,48.0,21.0,18.0,3.0,6.0,3.0,9.0,131.0,86.0,55.0,20.0,19.0,8.0,14.0,5.0,6580.0,90.0,554.0
2010-580,Australian Open,Hard,G,20100118,49,104918,Andy Murray,190.0,22.6803559206,104731,Kevin Anderson,203.0,23.6714579055,6-1 6-1 6-2,9.0,1.0,65.0,24.0,21.0,24.0,11.0,3.0,4.0,2.0,2.0,74.0,50.0,26.0,6.0,11.0,4.0,12.0,4.0,6780.0,148.0,347.0
2010-580,Australian Open,Hard,G,20100118,50,102967,Marc Gicquel,188.0,32.8049281314,104620,Simone Bolelli,183.0,24.2792607803,7-6(2) 7-6(3) 6-3,14.0,4.0,130.0,70.0,52.0,35.0,17.0,6.0,8.0,5.0,2.0,115.0,76.0,53.0,18.0,16.0,6.0,9.0,57.0,775.0,98.0,529.0
2010-580,Australian Open,Hard,G,20100118,51,103813,Jarkko Nieminen,185.0,28.4900752909,105194,Nick Lindahl,183.0,21.4674880219,6-2 7-5 6-4,1.0,0.0,95.0,74.0,54.0,13.0,15.0,7.0,8.0,7.0,2.0,102.0,64.0,43.0,16.0,15.0,8.0,13.0,132.0,398.0,235.0,191.0
2010-580,Australian Open,Hard,G,20100118,52,103722,Florent Serra,180.0,28.887063655,103781,Jurgen Melzer,183.0,28.6598220397,6-1 6-7(3) 6-4 4-6 6-3,12.0,2.0,154.0,103.0,72.0,34.0,25.0,9.0,11.0,10.0,7.0,138.0,85.0,59.0,27.0,23.0,6.0,11.0,64.0,665.0,27.0,1260.0
2010-580,Australian Open,Hard,G,20100118,53,104545,John Isner,206.0,24.7310061602,104312,Andreas Seppi,190.0,25.9082819986,6-3 6-3 3-6 5-7 6-4,34.0,5.0,155.0,95.0,74.0,29.0,25.0,6.0,9.0,10.0,10.0,141.0,79.0,60.0,35.0,24.0,3.0,6.0,28.0,1260.0,49.0,900.0
2010-580,Australian Open,Hard,G,20100118,54,104476,Louk Sorensen,175.0,25.029431896,104229,Yen Hsun Lu,180.0,26.431211499,6-4 3-6 6-2 6-1,6.0,2.0,91.0,65.0,50.0,15.0,17.0,1.0,3.0,0.0,3.0,112.0,68.0,45.0,17.0,17.0,8.0,14.0,284.0,156.0,101.0,525.0
2010-580,Australian Open,Hard,G,20100118,55,105099,Antonio Veic,180.0,21.916495551,104230,Daniel Koellerer,180.0,26.4229979466,6-4 3-6 6-7(3) 6-1 6-4,7.0,1.0,157.0,107.0,69.0,26.0,25.0,7.0,14.0,1.0,1.0,136.0,109.0,67.0,11.0,23.0,6.0,14.0,224.0,208.0,73.0,617.0
2010-580,Australian Open,Hard,G,20100118,56,104792,Gael Monfils,193.0,23.3812457221,105051,Matthew Ebden,188.0,22.1464750171,6-4 6-4 6-4,4.0,4.0,77.0,52.0,43.0,16.0,15.0,0.0,1.0,2.0,2.0,96.0,62.0,44.0,16.0,15.0,3.0,7.0,12.0,2610.0,251.0,183.0
2010-580,Australian Open,Hard,G,20100118,57,103333,Ivo Karlovic,208.0,30.8884325804,103285,Radek Stepanek,185.0,31.1430527036,2-6 7-6(5) 6-4 3-6 6-4,35.0,9.0,147.0,87.0,77.0,21.0,24.0,10.0,14.0,2.0,6.0,166.0,95.0,66.0,40.0,25.0,9.0,12.0,39.0,1015.0,13.0,2525.0
2010-580,Australian Open,Hard,G,20100118,58,103898,Julien Benneteau,185.0,28.0793976728,104095,David Guez,185.0,27.112936345,0-6 6-4 7-6(4) 7-6(2),4.0,7.0,135.0,93.0,63.0,19.0,20.0,6.0,12.0,1.0,5.0,129.0,81.0,44.0,33.0,20.0,3.0,7.0,43.0,969.0,133.0,381.0
2010-580,Australian Open,Hard,G,20100118,59,104979,Andrey Golubev,185.0,22.4941820671,103888,Mardy Fish,188.0,28.1095140315,6-2 1-6 6-3 6-3,4.0,2.0,100.0,65.0,41.0,19.0,16.0,5.0,9.0,3.0,4.0,117.0,61.0,41.0,22.0,17.0,3.0,10.0,131.0,407.0,54.0,835.0
2010-580,Australian Open,Hard,G,20100118,60,103344,Ivan Ljubicic,193.0,30.8364134155,106186,Jason Kubler,0.0,16.6680355921,6-1 6-2 6-2,6.0,2.0,62.0,44.0,38.0,11.0,12.0,0.0,0.0,2.0,2.0,73.0,41.0,22.0,13.0,11.0,8.0,14.0,24.0,1405.0,2000.0,0.0
2010-580,Australian Open,Hard,G,20100118,61,104259,Philipp Kohlschreiber,178.0,26.2587268994,104547,Horacio Zeballos,188.0,24.7282683094,6-1 7-5 6-1,10.0,4.0,76.0,53.0,44.0,12.0,13.0,2.0,3.0,7.0,3.0,85.0,54.0,33.0,8.0,13.0,6.0,13.0,26.0,1260.0,50.0,899.0
2010-580,Australian Open,Hard,G,20100118,62,104639,Wayne Odesnik,180.0,24.1587953457,104882,Blaz Kavcic,188.0,22.8747433265,4-6 6-1 6-4 6-2,6.0,3.0,104.0,67.0,48.0,19.0,18.0,2.0,6.0,1.0,4.0,111.0,70.0,40.0,16.0,17.0,9.0,16.0,89.0,559.0,124.0,445.0
2010-580,Australian Open,Hard,G,20100118,63,105041,Lukas Lacko,185.0,22.2094455852,104919,Leonardo Mayer,188.0,22.6803559206,6-4 6-4 6-0,7.0,2.0,75.0,46.0,41.0,15.0,13.0,0.0,0.0,7.0,3.0,77.0,51.0,31.0,13.0,13.0,3.0,8.0,75.0,612.0,69.0,637.0
2010-580,Australian Open,Hard,G,20100118,64,104745,Rafael Nadal,185.0,23.627652293,103429,Peter Luczak,183.0,30.3846680356,7-6(0) 6-1 6-4,11.0,1.0,104.0,72.0,55.0,18.0,15.0,6.0,7.0,7.0,6.0,91.0,57.0,39.0,12.0,14.0,5.0,9.0,2.0,9310.0,70.0,635.0
2010-580,Australian Open,Hard,G,20100118,65,103819,Roger Federer,185.0,28.4462696783,103812,Victor Hanescu,198.0,28.4955509925,6-2 6-3 6-2,8.0,1.0,73.0,50.0,41.0,14.0,13.0,5.0,5.0,3.0,1.0,87.0,61.0,34.0,12.0,12.0,6.0,11.0,1.0,10550.0,47.0,905.0
2010-580,Australian Open,Hard,G,20100118,66,103656,Albert Montanes,175.0,29.144421629,103565,Stephane Robert,185.0,29.6728268309,4-6 6-7(3) 6-2 6-3 6-2,13.0,5.0,158.0,107.0,75.0,23.0,23.0,6.0,10.0,3.0,7.0,166.0,98.0,58.0,32.0,24.0,10.0,19.0,32.0,1185.0,104.0,515.0
2010-580,Australian Open,Hard,G,20100118,67,103720,Lleyton Hewitt,180.0,28.8980150582,105385,Donald Young,183.0,20.4900752909,7-6(3) 6-4 6-1,7.0,1.0,96.0,56.0,38.0,25.0,15.0,6.0,9.0,7.0,2.0,82.0,50.0,33.0,10.0,14.0,6.0,12.0,22.0,1600.0,195.0,244.0
2010-580,Australian Open,Hard,G,20100118,68,104571,Marcos Baghdatis,183.0,24.5886379192,103970,David Ferrer,175.0,27.7973990418,4-6 3-6 7-6(4) 6-3 6-1,12.0,1.0,142.0,80.0,60.0,33.0,23.0,5.0,9.0,1.0,1.0,178.0,116.0,73.0,32.0,24.0,11.0,17.0,31.0,1215.0,18.0,1825.0
2010-580,Australian Open,Hard,G,20100118,69,104269,Fernando Verdasco,188.0,26.1765913758,105079,Ivan Sergeyev,0.0,21.9958932238,6-1 6-2 6-2,6.0,6.0,81.0,56.0,41.0,11.0,11.0,4.0,5.0,0.0,7.0,84.0,34.0,18.0,17.0,12.0,10.0,18.0,9.0,3300.0,209.0,225.0
2010-580,Australian Open,Hard,G,20100118,70,102905,Stefan Koubek,175.0,33.0431211499,104471,Ivan Dodig,183.0,25.0431211499,7-6(4) 6-1 6-2,9.0,4.0,83.0,54.0,44.0,16.0,14.0,3.0,4.0,9.0,5.0,95.0,51.0,31.0,22.0,13.0,5.0,10.0,134.0,377.0,185.0,260.0
2010-580,Australian Open,Hard,G,20100118,71,104338,Juan Monaco,185.0,25.8069815195,103566,Michael Llodra,190.0,29.6700889802,3-6 3-6 7-6(5) 6-1 6-3,5.0,2.0,145.0,98.0,61.0,27.0,23.0,8.0,15.0,6.0,7.0,144.0,82.0,52.0,28.0,23.0,10.0,18.0,33.0,1170.0,72.0,627.0
